"presvote16post_2016","faminc_2016","pid3_2016","employ_2016","child18_2016","marstat_2016","educ_2016"
"Donald Trump","$50,000 - $59,999","Other","Retired","No","Married","High school graduate"
"Donald Trump","$70,000 - $79,999","Republican","Retired","No","Married","Some college"
"Hillary Clinton","Prefer not to say","Independent","Full-time","Yes","Married","4-year"
"Other","$60,000 - $69,999","Republican","Full-time","No","Married","Some college"
"Hillary Clinton","$100,000 - $119,999","Independent","Part-time","No","Married","Post-grad"
"Donald Trump","$150,000 - $199,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","Prefer not to say","Independent","Part-time","No","Single","4-year"
"Donald Trump","$120,000 - $149,999","Republican","Retired","No","Married","4-year"
"Donald Trump","$100,000 - $119,999","Republican","Full-time","Yes","Married","4-year"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","No","Married","No HS"
"Hillary Clinton","Prefer not to say","Democrat","Other","No","Married","Post-grad"
"Other","$60,000 - $69,999","Republican","Full-time","No","Single","4-year"
"Donald Trump","$100,000 - $119,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","$80,000 - $99,999","Republican","Full-time","Yes","Married","Post-grad"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","No","Divorced","4-year"
"Hillary Clinton","$30,000 - $39,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","$200,000 - $249,999","Independent","Full-time","No","Married","Post-grad"
"Other","$100,000 - $119,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$120,000 - $149,999","Democrat","Part-time","No","Married","Post-grad"
"Hillary Clinton","$40,000 - $49,999","Independent","Full-time","No","Divorced","Some college"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","No","Married","4-year"
"Donald Trump","$100,000 - $119,999","Republican","Homemaker","No","Married","4-year"
"Donald Trump","Prefer not to say","Republican","Homemaker","No","Married","High school graduate"
"Donald Trump","$40,000 - $49,999","Independent","Retired","No","Widowed","2-year"
"Evan McMullin","$60,000 - $69,999","Republican","Full-time","Yes","Married","4-year"
"Other","$80,000 - $99,999","Independent","Full-time","No","Married","4-year"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","No","Married","Some college"
"Jill Stein","$70,000 - $79,999","Democrat","Full-time","No","Single","Post-grad"
"Hillary Clinton","$60,000 - $69,999","Democrat","Full-time","No","Single","4-year"
"Donald Trump","Prefer not to say","Independent","Retired","No","Married","Post-grad"
"Donald Trump","Prefer not to say","Republican","Retired","No","Married","High school graduate"
"Donald Trump","$40,000 - $49,999","Republican","Part-time","No","Widowed","4-year"
"Donald Trump","$10,000 - $19,999","Republican","Other","No","Single","4-year"
"Donald Trump","$70,000 - $79,999","Independent","Other","No","Married","Post-grad"
"Donald Trump","Prefer not to say","Independent","Full-time","Yes","Married","4-year"
"Evan McMullin","$70,000 - $79,999","Republican","Retired","No","Married","4-year"
"Gary Johnson","$50,000 - $59,999","Other","Full-time","No","Married","Some college"
"Donald Trump","$70,000 - $79,999","Independent","Unemployed","No","Divorced","Post-grad"
"Donald Trump","$120,000 - $149,999","Independent","Full-time","No","Married","4-year"
"Other","$70,000 - $79,999","Independent","Full-time","Yes","Married","2-year"
"","$60,000 - $69,999","Other","Full-time","Yes","Married","4-year"
"Donald Trump","Prefer not to say","Independent","Retired","No","Divorced","4-year"
"Donald Trump","$70,000 - $79,999","Other","Unemployed","No","Married","Some college"
"Hillary Clinton","$150,000 - $199,999","Democrat","Full-time","Yes","Married","4-year"
"Donald Trump","$70,000 - $79,999","Independent","Full-time","No","Married","4-year"
"Hillary Clinton","$120,000 - $149,999","Democrat","Full-time","No","Married","Post-grad"
"Donald Trump","$30,000 - $39,999","Republican","Part-time","No","Divorced","High school graduate"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","Yes","Married","4-year"
"Donald Trump","$120,000 - $149,999","Republican","Homemaker","No","Married","4-year"
"Donald Trump","$20,000 - $29,999","Independent","Full-time","No","Divorced","Some college"
"Hillary Clinton","$120,000 - $149,999","Independent","Homemaker","Yes","Married","4-year"
"Hillary Clinton","Prefer not to say","Democrat","Part-time","No","Divorced","4-year"
"Hillary Clinton","$120,000 - $149,999","Democrat","Full-time","Yes","Married","Post-grad"
"Donald Trump","$20,000 - $29,999","Republican","Retired","No","Divorced","Some college"
"Donald Trump","$60,000 - $69,999","Republican","Full-time","No","Married","High school graduate"
"Donald Trump","Less than $10,000","Republican","Unemployed","No","Single","Some college"
"Donald Trump","Prefer not to say","Republican","Retired","No","Widowed","High school graduate"
"Donald Trump","$70,000 - $79,999","Independent","Full-time","No","Married","High school graduate"
"Donald Trump","$150,000 - $199,999","Republican","Retired","No","Married","Post-grad"
"Donald Trump","$150,000 - $199,999","Independent","Full-time","No","Single","Post-grad"
"Donald Trump","$120,000 - $149,999","Republican","Homemaker","No","Married","High school graduate"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","No","Married","2-year"
"Donald Trump","$60,000 - $69,999","Independent","Retired","No","Single","Some college"
"Donald Trump","$30,000 - $39,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$120,000 - $149,999","Democrat","Full-time","No","Domestic partnership","Post-grad"
"Other","$70,000 - $79,999","Independent","Part-time","Yes","Married","Some college"
"Donald Trump","$80,000 - $99,999","Independent","Part-time","No","Married","Post-grad"
"Donald Trump","Prefer not to say","Republican","Retired","No","Married","4-year"
"Donald Trump","$50,000 - $59,999","Independent","Retired","No","Married","Some college"
"Donald Trump","$150,000 - $199,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$80,000 - $99,999","Democrat","Retired","No","Married","Post-grad"
"Hillary Clinton","$150,000 - $199,999","Democrat","Retired","No","Divorced","Post-grad"
"Hillary Clinton","$50,000 - $59,999","Democrat","Permanently disabled","Yes","Separated","Some college"
"Donald Trump","$100,000 - $119,999","Republican","Part-time","Yes","Married","Some college"
"Donald Trump","Prefer not to say","Republican","Retired","No","Married","4-year"
"Donald Trump","$80,000 - $99,999","Republican","Full-time","Yes","Married","Post-grad"
"Hillary Clinton","Less than $10,000","Democrat","Unemployed","No","Single","4-year"
"Hillary Clinton","Prefer not to say","Independent","Part-time","Yes","Married","Some college"
"Donald Trump","Prefer not to say","Republican","Retired","No","Married","Post-grad"
"Donald Trump","$70,000 - $79,999","Republican","Full-time","No","Married","Post-grad"
"Donald Trump","$120,000 - $149,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$120,000 - $149,999","Democrat","Retired","Yes","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Independent","Full-time","No","Married","High school graduate"
"Hillary Clinton","$100,000 - $119,999","Republican","Full-time","No","Married","4-year"
"Donald Trump","Prefer not to say","Independent","Full-time","Yes","Married","Post-grad"
"Donald Trump","$60,000 - $69,999","Republican","Full-time","No","Married","2-year"
"Donald Trump","$150,000 - $199,999","Independent","Full-time","Yes","Married","Post-grad"
"Donald Trump","$100,000 - $119,999","Independent","Full-time","No","Married","4-year"
"Donald Trump","$40,000 - $49,999","Republican","Full-time","Yes","Married","4-year"
"Donald Trump","$40,000 - $49,999","Independent","Retired","No","Single","Post-grad"
"Donald Trump","Prefer not to say","Republican","Permanently disabled","No","Divorced","Some college"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","Yes","Married","Post-grad"
"Donald Trump","$60,000 - $69,999","Republican","Part-time","No","Married","4-year"
"Donald Trump","$70,000 - $79,999","Republican","Full-time","No","Single","Some college"
"Donald Trump","$30,000 - $39,999","Republican","Full-time","No","Single","4-year"
"Donald Trump","$20,000 - $29,999","Independent","Full-time","No","Single","No HS"
"Donald Trump","$60,000 - $69,999","Republican","Full-time","Yes","Married","Post-grad"
"Donald Trump","Prefer not to say","Republican","Full-time","No","Single","Post-grad"
"Donald Trump","Less than $10,000","Independent","Unemployed","No","Divorced","Post-grad"
"Hillary Clinton","$70,000 - $79,999","Independent","Full-time","No","Married","4-year"
"Hillary Clinton","$150,000 or more","Independent","Retired","No","Married","4-year"
"Gary Johnson","$60,000 - $69,999","Independent","Full-time","No","Domestic partnership","Some college"
"Donald Trump","$30,000 - $39,999","Independent","Homemaker","No","Divorced","4-year"
"Donald Trump","$30,000 - $39,999","Republican","Retired","No","Domestic partnership","High school graduate"
"Hillary Clinton","$80,000 - $99,999","Democrat","Retired","No","Single","Post-grad"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","Yes","Married","Some college"
"Hillary Clinton","$120,000 - $149,999","Democrat","Retired","No","Married","Post-grad"
"Donald Trump","$40,000 - $49,999","Independent","Retired","No","Married","4-year"
"Donald Trump","Prefer not to say","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$70,000 - $79,999","Independent","Part-time","No","Widowed","Some college"
"Donald Trump","Prefer not to say","Independent","Retired","No","Married","High school graduate"
"Donald Trump","Prefer not to say","Republican","Full-time","No","Married","2-year"
"Donald Trump","$120,000 - $149,999","Independent","Retired","No","Married","Some college"
"Donald Trump","Prefer not to say","Independent","Permanently disabled","No","Married","High school graduate"
"Hillary Clinton","Prefer not to say","Independent","Retired","No","Married","High school graduate"
"Hillary Clinton","$40,000 - $49,999","Independent","Retired","No","Single","4-year"
"Donald Trump","Prefer not to say","Independent","Unemployed","No","Married","4-year"
"Hillary Clinton","$50,000 - $59,999","Democrat","Full-time","No","Married","4-year"
"Donald Trump","$200,000 - $249,999","Republican","Retired","No","Married","Post-grad"
"Donald Trump","$80,000 - $99,999","Republican","Full-time","No","Single","Post-grad"
"Donald Trump","$60,000 - $69,999","Independent","Retired","No","Married","2-year"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","No","Married","Post-grad"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Single","High school graduate"
"Hillary Clinton","$120,000 - $149,999","Independent","Full-time","No","Divorced","Some college"
"Donald Trump","$50,000 - $59,999","Republican","Full-time","No","Married","Some college"
"Donald Trump","$20,000 - $29,999","Other","Retired","No","Married","High school graduate"
"Donald Trump","$50,000 - $59,999","Other","Other","No","Separated","2-year"
"Hillary Clinton","$20,000 - $29,999","Independent","Retired","No","Widowed","High school graduate"
"Hillary Clinton","$120,000 - $149,999","Democrat","Retired","No","Married","Some college"
"Donald Trump","Prefer not to say","Independent","Unemployed","No","Single","Some college"
"Hillary Clinton","$40,000 - $49,999","Independent","Retired","No","Married","4-year"
"Donald Trump","$80,000 - $99,999","Other","Full-time","No","Married","Post-grad"
"Donald Trump","$120,000 - $149,999","Republican","Retired","No","Married","Some college"
"Gary Johnson","$30,000 - $39,999","Republican","Part-time","No","Single","Post-grad"
"Other","Prefer not to say","Republican","Full-time","Yes","Married","Post-grad"
"","$20,000 - $29,999","Democrat","Retired","No","Widowed","2-year"
"Hillary Clinton","$30,000 - $39,999","Independent","Unemployed","No","Single","4-year"
"Donald Trump","$40,000 - $49,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","$50,000 - $59,999","Republican","Part-time","No","Domestic partnership","High school graduate"
"Gary Johnson","$100,000 - $119,999","Independent","Full-time","No","Married","4-year"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","No","Married","4-year"
"Hillary Clinton","Prefer not to say","Democrat","Retired","No","Single","High school graduate"
"Donald Trump","$40,000 - $49,999","Independent","Retired","No","Married","Some college"
"Donald Trump","Prefer not to say","Republican","Retired","No","Single","Some college"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","No","Single","2-year"
"Donald Trump","$100,000 - $119,999","Independent","Full-time","No","Divorced","No HS"
"Donald Trump","$40,000 - $49,999","Independent","Full-time","No","Single","4-year"
"Donald Trump","$30,000 - $39,999","Independent","Student","Yes","Widowed","Some college"
"Hillary Clinton","$50,000 - $59,999","Independent","Retired","No","Divorced","Post-grad"
"Donald Trump","$40,000 - $49,999","Democrat","Part-time","No","Married","High school graduate"
"Hillary Clinton","$20,000 - $29,999","Democrat","Retired","No","Married","High school graduate"
"","$30,000 - $39,999","Republican","Retired","No","Married","Some college"
"Donald Trump","Less than $10,000","Republican","Unemployed","No","Single","4-year"
"Hillary Clinton","$150,000 or more","Independent","Full-time","No","Single","Post-grad"
"","$40,000 - $49,999","Independent","Retired","No","Married","4-year"
"Hillary Clinton","$150,000 or more","Independent","Retired","No","Married","4-year"
"Other","$250,000 - $349,999","Independent","Full-time","No","Married","4-year"
